Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2022,9,1,0.0,0.0,0.0,0.0,29.3,33.7,27.5,4.5,36.7
Marina Barrage,2022,9,2,4.0,2.5,2.5,2.5,27.5,31.0,26.5,6.4,29.8
Marina Barrage,2022,9,3,0.0,0.0,0.0,0.0,28.9,33.4,26.6,8.9,31.3
Marina Barrage,2022,9,4,1.0,0.5,1.0,1.0,28.7,31.2,26.9,4.4,24.8
Marina Barrage,2022,9,5,3.0,2.5,3.0,3.0,28.5,33.6,25.6,4.3,40.4
Marina Barrage,2022,9,6,0.0,0.0,0.0,0.0,28.9,32.4,26.2,5.3,33.2
Marina Barrage,2022,9,7,23.0,20.0,21.0,21.0,27.1,29.7,24.5,5.1,24.8
Marina Barrage,2022,9,8,0.0,0.0,0.0,0.0,29.0,33.1,26.3,4.1,22.4
Marina Barrage,2022,9,9,1.2,0.4,0.4,0.4,27.6,30.7,26.2,5.6,26.7
Marina Barrage,2022,9,10,0.0,0.0,0.0,0.0,29.0,33.1,26.7,8.2,25.2
Marina Barrage,2022,9,11,0.2,0.2,0.2,0.2,28.4,32.9,26.9,6.8,37.4
Marina Barrage,2022,9,12,0.0,0.0,0.0,0.2,29.1,33.6,25.5,6.9,25.9
Marina Barrage,2022,9,13,4.6,2.6,4.0,4.6,27.8,31.6,24.1,7.9,30.2
Marina Barrage,2022,9,14,0.0,0.0,0.0,0.0,27.4,29.8,25.9,8.6,35.9
Marina Barrage,2022,9,15,0.0,0.0,0.0,0.0,28.6,32.5,25.9,6.8,26.7
Marina Barrage,2022,9,16,0.0,0.0,0.0,0.0,29.5,33.6,26.3,5.9,20.9
Marina Barrage,2022,9,17,1.0,0.8,0.8,0.8,28.7,31.1,27.3,6.3,27.8
Marina Barrage,2022,9,18,60.8,16.4,21.8,38.6,26.2,28.3,22.6,6.2,28.2
Marina Barrage,2022,9,19,0.0,0.0,0.0,0.0,27.9,30.7,25.4,7.0,28.2
Marina Barrage,2022,9,20,0.6,0.6,0.6,0.6,27.7,29.8,24.1,5.0,32.0
Marina Barrage,2022,9,21,0.0,0.0,0.0,0.0,29.3,33.9,26.2,6.5,23.3
Marina Barrage,2022,9,22,28.4,15.8,24.6,27.8,27.1,29.2,22.8,8.6,43.2
Marina Barrage,2022,9,23,0.0,0.0,0.0,0.0,29.2,33.7,26.4,7.0,19.8
Marina Barrage,2022,9,24,0.2,0.2,0.2,0.2,28.6,32.2,26.6,7.1,26.7
Marina Barrage,2022,9,25,20.8,7.2,8.8,14.6,27.3,31.0,22.9,8.1,45.4
Marina Barrage,2022,9,26,0.0,0.0,0.0,0.0,28.8,32.0,27.4,7.5,25.6
Marina Barrage,2022,9,27,0.0,0.0,0.0,0.0,29.0,33.6,25.9,5.7,25.9
Marina Barrage,2022,9,28,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
Marina Barrage,2022,9,29,6.0,5.8,6.0,6.0,28.6,32.0,24.5,4.8,28.5
Marina Barrage,2022,9,30,0.0,0.0,0.0,0.0,29.6,34.5,26.5,3.6,24.8
