,year,month,max_rain,n_rain_days,total_rain,mean_rh,mean_ss,mean_temp
0,1982,1,36.5,10,107.1,81.2,5.6,25.9
1,1982,2,9.4,5,27.8,79.5,7.6,27.1
2,1982,3,61.7,11,160.8,82.3,5.1,27.2
3,1982,4,45.1,14,157.0,85.9,4.7,27.0
4,1982,5,33.0,10,102.2,83.2,5.8,28.0
5,1982,6,20.6,8,59.5,80.3,7.3,28.4
6,1982,7,17.2,8,76.3,77.6,7.6,28.2
7,1982,8,57.7,11,169.5,80.4,5.4,27.7
8,1982,9,18.0,9,54.1,80.6,5.2,27.9
9,1982,10,10.0,10,39.3,81.5,5.6,27.4
10,1982,11,39.6,13,134.0,83.4,5.8,27.3
11,1982,12,109.0,21,494.1,87.7,3.3,26.2
12,1983,1,43.2,18,246.0,85.6,4.3,26.5
13,1983,2,5.1,2,5.6,78.0,9.3,28.1
14,1983,3,18.3,2,18.6,76.0,8.9,28.9
15,1983,4,21.3,4,33.6,77.2,6.6,29.4
16,1983,5,32.3,11,160.8,83.2,5.9,28.3
17,1983,6,27.7,11,94.0,82.4,5.9,28.3
18,1983,7,55.5,18,190.0,83.7,5.4,27.6
19,1983,8,181.8,10,262.2,81.2,6.3,28.1
20,1983,9,50.3,18,170.8,84.4,3.8,27.2
21,1983,10,40.0,17,212.7,82.5,5.2,27.6
22,1983,11,54.8,18,228.8,85.2,3.2,26.6
23,1983,12,164.4,16,370.6,88.0,2.7,25.4
24,1984,1,62.3,18,251.2,85.8,4.1,25.5
25,1984,2,154.4,19,470.4,86.0,4.1,25.8
26,1984,3,119.4,19,361.3,85.4,5.3,26.5
27,1984,4,38.7,17,153.1,83.8,6.2,27.3
28,1984,5,46.0,12,186.5,84.1,6.4,27.3
29,1984,6,121.1,14,255.0,83.1,5.4,27.5
30,1984,7,49.2,12,127.2,83.7,5.7,27.2
31,1984,8,22.5,13,102.7,84.1,6.0,27.4
32,1984,9,46.5,17,186.7,83.9,4.9,26.8
33,1984,10,47.2,11,187.5,82.5,5.3,27.4
34,1984,11,35.4,17,127.7,86.3,4.3,26.5
35,1984,12,58.4,22,277.4,86.7,3.3,26.0
36,1985,1,35.5,7,111.1,81.5,8.7,26.6
37,1985,2,18.7,11,79.3,84.0,6.5,27.0
38,1985,3,23.8,13,88.0,83.9,5.6,27.1
39,1985,4,29.3,14,110.5,83.8,5.5,27.5
40,1985,5,36.2,12,70.1,83.4,5.7,28.0
41,1985,6,9.9,14,37.0,79.4,5.8,28.2
42,1985,7,32.2,17,131.8,83.1,5.3,27.0
43,1985,8,21.4,11,56.9,80.4,6.2,27.7
44,1985,9,22.0,18,110.7,83.1,5.0,26.9
45,1985,10,30.2,21,169.0,84.7,4.1,26.7
46,1985,11,38.2,21,179.4,85.0,4.1,26.6
47,1985,12,86.8,22,340.1,86.2,4.6,26.1
48,1986,1,95.6,13,308.2,83.9,3.9,25.7
49,1986,2,23.0,2,26.7,78.4,7.2,26.9
50,1986,3,71.1,17,353.4,86.6,4.6,26.4
51,1986,4,56.4,14,150.0,85.3,6.2,27.4
52,1986,5,51.3,13,145.1,81.8,6.1,28.2
53,1986,6,34.5,13,122.9,82.5,6.8,27.9
54,1986,7,23.5,12,109.7,79.9,6.2,27.9
55,1986,8,28.4,11,72.9,77.3,5.6,28.3
56,1986,9,97.6,22,396.0,84.4,4.8,26.7
57,1986,10,65.6,20,227.3,85.0,5.0,26.9
58,1986,11,40.5,21,256.7,84.1,4.5,26.6
59,1986,12,131.7,16,367.2,85.2,5.4,26.3
60,1987,1,127.4,16,568.6,86.0,4.0,25.5
61,1987,2,34.8,7,86.9,79.0,9.2,26.6
62,1987,3,40.9,12,132.5,83.2,6.9,27.5
63,1987,4,27.7,10,72.5,82.8,6.2,27.9
64,1987,5,81.4,16,270.0,84.6,5.6,27.6
65,1987,6,30.7,15,126.6,80.7,6.8,28.7
66,1987,7,21.6,11,80.9,81.3,6.7,28.1
67,1987,8,48.2,16,191.9,83.6,5.1,27.4
68,1987,9,44.5,11,129.9,82.5,5.4,27.6
69,1987,10,5.9,9,22.6,82.1,5.8,27.9
70,1987,11,77.7,17,347.6,84.0,4.5,27.3
71,1987,12,24.3,11,72.8,84.6,4.8,26.4
72,1988,1,69.0,15,237.5,84.3,5.9,26.8
